course,date,start_time,end_time
1P3/Physical Principles of Electronics[1]L Wilkinson(Constance Tipper),10/10/2024,09:00,10:00
1PX/Dimensional Analysis[1]L Mandre(Constance Tipper),10/10/2024,10:00,11:00
1CW/Structural Design (see lab rota)[1]L (Lecture Room 3A),10/10/2024,11:00,13:00
1CW/Lab/Computing (see rota)[1]C (),10/10/2024,11:00,13:00
1CW/Lab/Computing (see rota)[1]C (),10/10/2024,14:00,17:00
1CW/Structural Design (see lab rota)[1]L (Lecture Room 3A),11/10/2024,09:00,11:00
1CW/Lab/Computing (see rota)[1]C (),11/10/2024,09:00,11:00
1CW/Drawing:Computer Aided Design[1]C Roebuck(Constance Tipper),11/10/2024,11:00,12:00
1P4/Mathematical Methods[1]L Savory(Constance Tipper),11/10/2024,12:00,13:00
1CW/Lab/Computing (see rota)[1]C (),11/10/2024,14:00,17:00
1CW/Structural Design (see lab rota)[1]L (Lecture Room 3A),14/10/2024,09:00,11:00
1CW/Lab/Computing (see rota)[1]C (),14/10/2024,09:00,11:00
1P1/Mechanics[1]L Butlin/Talbot(Constance Tipper),14/10/2024,11:00,12:00
1P4/Mathematical Methods[1]L Savory(Constance Tipper),14/10/2024,12:00,13:00
1CW/Integrated Electrical Project intro lecture[1]L Wilkinson(Constance Tipper),14/10/2024,13:00,14:00
1CW/Lab/Computing (see rota)[1]C (),14/10/2024,14:00,17:00
1PX/Engineer in Society[1]L Minshall(Constance Tipper),15/10/2024,09:00,10:00
1P1/Mechanics[1]L Butlin/Talbot(Constance Tipper),15/10/2024,10:00,11:00
1CW/Structural Design (see lab rota)[1]L (Lecture Room 3A),15/10/2024,11:00,13:00
1CW/Lab/Computing (see rota)[1]C (),15/10/2024,11:00,13:00
1P4/Computing[1]L Mancini(Constance Tipper),15/10/2024,13:00,14:00
1CW/Lab/Computing (see rota)[1]C (),15/10/2024,14:00,17:00
1P3/Physical Principles of Electronics[1]L Wilkinson(Constance Tipper),16/10/2024,09:00,10:00
1P2/Structures[1]L Allwood(Constance Tipper),16/10/2024,10:00,11:00
1P3/Physical Principles of Electronics[2]L Wilkinson(Constance Tipper),17/10/2024,09:00,10:00
1PX/Dimensional Analysis[2]L Mandre(Constance Tipper),17/10/2024,10:00,11:00
1CW/Structural Design (see lab rota)[2]L (Lecture Room 3A),17/10/2024,11:00,13:00
1CW/Lab/Computing (see rota)[2]C (),17/10/2024,11:00,13:00
1CW/Lab/Computing (see rota)[2]C (),17/10/2024,14:00,17:00
1CW/Structural Design (see lab rota)[2]L (Lecture Room 3A),18/10/2024,09:00,11:00
1CW/Lab/Computing (see rota)[2]C (),18/10/2024,09:00,11:00
1P2/Structures[1]L Allwood(Constance Tipper),18/10/2024,11:00,12:00
1P4/Mathematical Methods[2]L Savory(Constance Tipper),18/10/2024,12:00,13:00
1CW/Lab/Computing (see rota)[2]C (),18/10/2024,14:00,17:00
1CW/Structural Design (see lab rota)[2]L (Lecture Room 3A),21/10/2024,09:00,11:00
1CW/Lab/Computing (see rota)[2]C (),21/10/2024,09:00,11:00
1P1/Mechanics[2]L Butlin/Talbot(Constance Tipper),21/10/2024,11:00,12:00
1P4/Mathematical Methods[2]L Savory(Constance Tipper),21/10/2024,12:00,13:00
1CW/Lab/Computing (see rota)[2]C (),21/10/2024,14:00,17:00
1PX/Engineer in Society[2]L Minshall(Constance Tipper),22/10/2024,09:00,10:00
1P1/Mechanics[2]L Butlin/Talbot(Constance Tipper),22/10/2024,10:00,11:00
1CW/Lab/Computing (see rota)[2]C (),22/10/2024,11:00,13:00
1CW/Structural Design (see lab rota)[2]L (Lecture Room 3A),22/10/2024,11:00,13:00
