course,date,start_time,end_time
2CW/IDP Introductory lecture[1]L Crisp(Lecture Theatre 1),10/10/2024,09:00,10:00
2CW/Lab/IDP/Computing (see rota)[1]C (),10/10/2024,09:00,11:00
2CW/Integrated Coursework: intro lecture[1]L McRobie(Lecture Theatre 2),10/10/2024,10:00,11:00
2P7/Vector Calculus[1]L Pullan(Constance Tipper),10/10/2024,11:00,12:00
2P3/Materials[1]L Kabla/McShane(Constance Tipper),10/10/2024,12:00,13:00
2CW/,10/10/2024,14:00,15:30
2P6/Linear Systems and Control[1]L Lestas(Constance Tipper),11/10/2024,09:00,10:00
2P4/Thermofluid Mechanics (Fluids)[1]L Davies Wykes(Constance Tipper),11/10/2024,10:00,11:00
2P4/Thermofluid Mechanics (Thermo)[1]L Miller(Constance Tipper),11/10/2024,10:00,11:00
2CW/Lab/IDP/Computing (see rota)[1]C (),11/10/2024,11:00,13:00
2P5/Analysis of Circuits[1]L Durkan(Constance Tipper),11/10/2024,14:00,15:00
2P3/Materials[1]L Kabla/McShane(Constance Tipper),14/10/2024,09:00,10:00
2P5/Analysis of Circuits[1]L Durkan(Constance Tipper),14/10/2024,10:00,11:00
2CW/Lab/IDP/Computing (see rota)[1]C (),14/10/2024,11:00,13:00
2CW/Lab/IDP/Computing (see rota)[1]C (),15/10/2024,09:00,11:00
2P6/Linear Systems and Control[1]L Lestas(Constance Tipper),15/10/2024,11:00,12:00
2P7/Vector Calculus[1]L Pullan(Constance Tipper),15/10/2024,12:00,13:00
2CW/Lab/IDP/Computing (see rota)[1]C (),16/10/2024,09:00,11:00
2P6/Linear Systems and Control[1]L Lestas(Constance Tipper),16/10/2024,11:00,12:00
2P4/Thermofluid Mechanics (Thermo)[1]L Miller(Constance Tipper),16/10/2024,12:00,13:00
2P4/Thermofluid Mechanics (Fluids)[1]L Davies Wykes(Constance Tipper),16/10/2024,12:00,13:00
2CW/Mars Lander Feedback[1]L Gee(Constance Tipper),16/10/2024,14:00,15:00
2CW/Lab/IDP/Computing (see rota)[2]C (),17/10/2024,09:00,11:00
2P7/Vector Calculus[2]L Pullan(Constance Tipper),17/10/2024,11:00,12:00
2P3/Materials[2]L Kabla/McShane(Constance Tipper),17/10/2024,12:00,13:00
2P6/Linear Systems and Control[2]L Lestas(Constance Tipper),18/10/2024,09:00,10:00
2P4/Thermofluid Mechanics (Thermo)[2]L Miller(Constance Tipper),18/10/2024,10:00,11:00
2P4/Thermofluid Mechanics (Fluids)[2]L Davies Wykes(Constance Tipper),18/10/2024,10:00,11:00
2CW/Lab/IDP/Computing (see rota)[2]C (),18/10/2024,11:00,13:00
2P5/Analysis of Circuits[2]L Durkan(Constance Tipper),18/10/2024,14:00,15:00
2P3/Materials[2]L Kabla/McShane(Constance Tipper),21/10/2024,09:00,10:00
2P5/Analysis of Circuits[2]L Durkan(Constance Tipper),21/10/2024,10:00,11:00
2CW/Lab/IDP/Computing (see rota)[2]C (),21/10/2024,11:00,13:00
2CW/Lab/IDP/Computing (see rota)[2]C (),22/10/2024,09:00,11:00
2P6/Linear Systems and Control[2]L Lestas(Constance Tipper),22/10/2024,11:00,12:00
2P7/Vector Calculus[2]L Pullan(Constance Tipper),22/10/2024,12:00,13:00
2CW/Lab/IDP/Computing (see rota)[2]C (),23/10/2024,09:00,11:00
2P6/Linear Systems and Control[2]L Lestas(Constance Tipper),23/10/2024,11:00,12:00
2P4/Thermofluid Mechanics (Fluids)[2]L Davies Wykes(Constance Tipper),23/10/2024,12:00,13:00
2P4/Thermofluid Mechanics (Thermo)[2]L Miller(Constance Tipper),23/10/2024,12:00,13:00
2CW/Lab/IDP/Computing (see rota)[3]C (),24/10/2024,09:00,11:00
2P7/Vector Calculus[3]L Pullan(Constance Tipper),24/10/2024,11:00,12:00
2P3/Materials[3]L Kabla/McShane(Constance Tipper),24/10/2024,12:00,13:00
2P6/Linear Systems and Control[3]L Lestas(Constance Tipper),25/10/2024,09:00,10:00
2P4/Thermofluid Mechanics (Fluids)[3]L Davies Wykes(Constance Tipper),25/10/2024,10:00,11:00
2P4/Thermofluid Mechanics (Thermo)[3]L Miller(Constance Tipper),25/10/2024,10:00,11:00
2CW/Lab/IDP/Computing (see rota)[3]C (),25/10/2024,11:00,13:00
2CW/Industrial Placements lecture[1]L Houghton(Constance Tipper),25/10/2024,13:00,14:00
2P5/Analysis of Circuits[3]L Durkan(Constance Tipper),25/10/2024,14:00,15:00
2P3/Materials[3]L Kabla/McShane(Constance Tipper),28/10/2024,09:00,10:00
2P5/Analysis of Circuits[3]L Durkan(Constance Tipper),28/10/2024,10:00,11:00
2CW/Lab/IDP/Computing (see rota)[3]C (),28/10/2024,11:00,13:00
2CW/Lab/IDP/Computing (see rota)[3]C (),29/10/2024,09:00,11:00
2P2/Structures[1]L Seffen(Constance Tipper),29/10/2024,11:00,12:00
2P7/Vector Calculus[3]L Pullan(Constance Tipper),29/10/2024,12:00,13:00
2CW/Lab/IDP/Computing (see rota)[3]C (),30/10/2024,09:00,11:00
2P2/Structures[1]L Seffen(Constance Tipper),30/10/2024,11:00,12:00
2P4/Thermofluid Mechanics (Thermo)[3]L Miller(Constance Tipper),30/10/2024,12:00,13:00
2P4/Thermofluid Mechanics (Fluids)[3]L Davies Wykes(Constance Tipper),30/10/2024,12:00,13:00
2CW/Lab/IDP/Computing (see rota)[4]C (),31/10/2024,09:00,11:00
2CX/Sustainable Engineering[1]L Borgomeo/Gonzalez Cabrera Honorio Serrenho/MacAskill(Constance Tipper),31/10/2024,11:00,12:00
2P3/Materials[4]L Kabla/McShane(Constance Tipper),31/10/2024,12:00,13:00
2P6/Linear Systems and Control[4]L Lestas(Constance Tipper),01/11/2024,09:00,10:00
2P4/Thermofluid Mechanics (Thermo)[4]L Miller(Constance Tipper),01/11/2024,10:00,11:00
2P4/Thermofluid Mechanics (Fluids)[4]L Davies Wykes(Constance Tipper),01/11/2024,10:00,11:00
2CW/Lab/IDP/Computing (see rota)[4]C (),01/11/2024,11:00,13:00
2P5/Analysis of Circuits[4]L Durkan(Constance Tipper),01/11/2024,14:00,15:00
2P3/Materials[4]L Kabla/McShane(Constance Tipper),04/11/2024,09:00,10:00
2P5/Analysis of Circuits[4]L Durkan(Constance Tipper),04/11/2024,10:00,11:00
2CW/Lab/IDP/Computing (see rota)[4]C (),04/11/2024,11:00,13:00
2CW/Lab/IDP/Computing (see rota)[4]C (),05/11/2024,09:00,11:00
2P2/Structures[2]L Seffen(Constance Tipper),05/11/2024,11:00,12:00
2P7/Vector Calculus[4]L Pullan(Constance Tipper),05/11/2024,12:00,13:00
2CW/Industrial Placements workshop[1]L Houghton(Lecture Theatre 1),05/11/2024,13:00,14:00
2CW/Lab/IDP/Computing (see rota)[4]C (),06/11/2024,09:00,11:00
2P2/Structures[2]L Seffen(Constance Tipper),06/11/2024,11:00,12:00
2P4/Thermofluid Mechanics (Thermo)[4]L Miller(Constance Tipper),06/11/2024,12:00,13:00
2P4/Thermofluid Mechanics (Fluids)[4]L Davies Wykes(Constance Tipper),06/11/2024,12:00,13:00
2CW/Lab/IDP/Computing (see rota)[5]C (),07/11/2024,09:00,11:00
2CW/IDP Introductory lecture[1]L Crisp(Lecture Theatre 1),07/11/2024,09:00,10:00
2CW/Integrated Coursework: intro lecture[1]L McRobie(Lecture Theatre 2),07/11/2024,10:00,11:00
2CX/Sustainable Engineering[2]L Borgomeo/Gonzalez Cabrera Honorio Serrenho/MacAskill(Constance Tipper),07/11/2024,11:00,12:00
2P3/Materials[5]L Kabla/McShane(Constance Tipper),07/11/2024,12:00,13:00
2CW/,07/11/2024,14:00,15:30
2P6/Linear Systems and Control[5]L Lestas(Constance Tipper),08/11/2024,09:00,10:00
2P4/Thermofluid Mechanics (Fluids)[5]L Davies Wykes(Constance Tipper),08/11/2024,10:00,11:00
2P4/Thermofluid Mechanics (Thermo)[5]L Miller(Constance Tipper),08/11/2024,10:00,11:00
2CW/Lab/IDP/Computing (see rota)[5]C (),08/11/2024,11:00,13:00
2P3/Materials[5]L Kabla/McShane(Constance Tipper),11/11/2024,09:00,10:00
2CW/Lab/IDP/Computing (see rota)[5]C (),11/11/2024,11:00,13:00
2CW/Lab/IDP/Computing (see rota)[5]C (),12/11/2024,09:00,11:00
2P2/Structures[3]L Seffen(Constance Tipper),12/11/2024,11:00,12:00
2P7/Vector Calculus[5]L Pullan(Constance Tipper),12/11/2024,12:00,13:00
2CW/Industrial Placements workshop[2]L Houghton(Lecture Theatre 1),12/11/2024,13:00,14:00
2CW/Lab/IDP/Computing (see rota)[5]C (),13/11/2024,09:00,11:00
2P2/Structures[3]L Seffen(Constance Tipper),13/11/2024,11:00,12:00
2P4/Thermofluid Mechanics (Fluids)[5]L Davies Wykes(Constance Tipper),13/11/2024,12:00,13:00
2P4/Thermofluid Mechanics (Thermo)[5]L Miller(Constance Tipper),13/11/2024,12:00,13:00
2CW/Lab/IDP/Computing (see rota)[6]C (),14/11/2024,09:00,11:00
2CX/Sustainable Engineering[3]L Borgomeo/Gonzalez Cabrera Honorio Serrenho/MacAskill(Constance Tipper),14/11/2024,11:00,12:00
2P3/Materials[6]L Kabla/McShane(Constance Tipper),14/11/2024,12:00,13:00
2P6/Linear Systems and Control[6]L Lestas(Constance Tipper),15/11/2024,09:00,10:00
2P4/Thermofluid Mechanics (Fluids)[6]L Davies Wykes(Constance Tipper),15/11/2024,10:00,11:00
2P4/Thermofluid Mechanics (Thermo)[6]L Miller(Constance Tipper),15/11/2024,10:00,11:00
2CW/Lab/IDP/Computing (see rota)[6]C (),15/11/2024,11:00,13:00
2P3/Materials[6]L Kabla/McShane(Constance Tipper),18/11/2024,09:00,10:00
2P7/Vector Calculus[1]L Pullan(Constance Tipper),18/11/2024,10:00,11:00
2CW/Lab/IDP/Computing (see rota)[6]C (),18/11/2024,11:00,13:00
2CW/Lab/IDP/Computing (see rota)[6]C (),19/11/2024,09:00,11:00
2P2/Structures[4]L Seffen(Constance Tipper),19/11/2024,11:00,12:00
2P7/Vector Calculus[6]L Pullan(Constance Tipper),19/11/2024,12:00,13:00
2CW/Industrial Placements workshop[3]L Houghton(Lecture Theatre 1),19/11/2024,13:00,14:00
2CW/Lab/IDP/Computing (see rota)[6]C (),20/11/2024,09:00,11:00
2P2/Structures[4]L Seffen(Constance Tipper),20/11/2024,11:00,12:00
2P4/Thermofluid Mechanics (Fluids)[6]L Davies Wykes(Constance Tipper),20/11/2024,12:00,13:00
2P4/Thermofluid Mechanics (Thermo)[6]L Miller(Constance Tipper),20/11/2024,12:00,13:00
2CW/Lab/IDP/Computing (see rota)[7]C (),21/11/2024,09:00,11:00
2CX/Sustainable Engineering[4]L Borgomeo/Gonzalez Cabrera Honorio Serrenho/MacAskill(Constance Tipper),21/11/2024,11:00,12:00
2P3/Materials[7]L Kabla/McShane(Constance Tipper),21/11/2024,12:00,13:00
2P6/Linear Systems and Control[7]L Lestas(Constance Tipper),22/11/2024,09:00,10:00
2P4/Thermofluid Mechanics (Fluids)[7]L Davies Wykes(Constance Tipper),22/11/2024,10:00,11:00
2P4/Thermofluid Mechanics (Thermo)[7]L Miller(Constance Tipper),22/11/2024,10:00,11:00
2CW/Lab/IDP/Computing (see rota)[7]C (),22/11/2024,11:00,13:00
2P3/Materials[7]L Kabla/McShane(Constance Tipper),25/11/2024,09:00,10:00
2P7/Vector Calculus[2]L Pullan(Constance Tipper),25/11/2024,10:00,11:00
2CW/Lab/IDP/Computing (see rota)[7]C (),25/11/2024,11:00,13:00
2CW/Lab/IDP/Computing (see rota)[7]C (),26/11/2024,09:00,11:00
2P2/Structures[5]L Seffen(Constance Tipper),26/11/2024,11:00,12:00
2P7/Vector Calculus[7]L Pullan(Constance Tipper),26/11/2024,12:00,13:00
2CW/Industrial Placements workshop[4]L Houghton(Lecture Theatre 1),26/11/2024,13:00,14:00
2P6/Linear Systems and Control[1]L Lestas(Constance Tipper),26/11/2024,14:00,15:00
2CW/Lab/IDP/Computing (see rota)[7]C (),27/11/2024,09:00,11:00
2P2/Structures[5]L Seffen(Constance Tipper),27/11/2024,11:00,12:00
2P4/Thermofluid Mechanics (Thermo)[7]L Miller(Constance Tipper),27/11/2024,12:00,13:00
2P4/Thermofluid Mechanics (Fluids)[7]L Davies Wykes(Constance Tipper),27/11/2024,12:00,13:00
2CW/Lab/IDP/Computing (see rota)[8]C (),28/11/2024,09:00,11:00
2CX/Sustainable Engineering[5]L Borgomeo/Gonzalez Cabrera Honorio Serrenho/MacAskill(Constance Tipper),28/11/2024,11:00,12:00
2P3/Materials[8]L Kabla/McShane(Constance Tipper),28/11/2024,12:00,13:00
2P6/Linear Systems and Control[8]L Lestas(Constance Tipper),29/11/2024,09:00,10:00
2P4/Thermofluid Mechanics (Thermo)[8]L Miller(Constance Tipper),29/11/2024,10:00,11:00
2P4/Thermofluid Mechanics (Fluids)[8]L Davies Wykes(Constance Tipper),29/11/2024,10:00,11:00
2CW/Lab/IDP/Computing (see rota)[8]C (),29/11/2024,11:00,13:00
2P3/Materials[8]L Kabla/McShane(Constance Tipper),02/12/2024,09:00,10:00
2P7/Vector Calculus[3]L Pullan(Constance Tipper),02/12/2024,10:00,11:00
2CW/Lab/IDP/Computing (see rota)[8]C (),02/12/2024,11:00,13:00
2CW/Lab/IDP/Computing (see rota)[8]C (),03/12/2024,09:00,11:00
2P2/Structures[6]L Seffen(Constance Tipper),03/12/2024,11:00,12:00
2P7/Vector Calculus[8]L Pullan(Constance Tipper),03/12/2024,12:00,13:00
2P6/Linear Systems and Control[2]L Lestas(Constance Tipper),03/12/2024,14:00,15:00
2CW/Lab/IDP/Computing (see rota)[8]C (),04/12/2024,09:00,11:00
2P2/Structures[6]L Seffen(Constance Tipper),04/12/2024,11:00,12:00
2P4/Thermofluid Mechanics (Fluids)[8]L Davies Wykes(Constance Tipper),04/12/2024,12:00,13:00
2P4/Thermofluid Mechanics (Thermo)[8]L Miller(Constance Tipper),04/12/2024,12:00,13:00
2CW/IDP Introductory lecture[1]L Sapienza(Lecture Theatre 1),23/01/2025,09:00,10:00
2CW/Lent Lab (see rota)[1]C (),23/01/2025,09:00,11:00
2CW/Integrated Coursework: intro lecture[1]L Haigh/Talbot(Lecture Theatre 1),23/01/2025,10:00,11:00
2P4/Thermofluid Mechanics (Heat transfer)[1]L Scott(Constance Tipper),23/01/2025,11:00,12:00
2P4/Thermofluid Mechanics (Fluids)[1]L Davies Wykes(Constance Tipper),23/01/2025,11:00,12:00
2P1/Mechanical Engineering[1]L Hunt_HEM(Constance Tipper),23/01/2025,12:00,13:00
2CW/,23/01/2025,14:00,15:30
2P1/Mechanical Engineering[1]L Hunt_HEM(Constance Tipper),24/01/2025,09:00,10:00
2P7/Probability[1]L Savin(Constance Tipper),24/01/2025,10:00,11:00
2P6/Fourier Transforms/Signal and Data[1]L Mancini(Constance Tipper),24/01/2025,14:00,15:00
2P2/Structures[1]L Lees(Constance Tipper),24/01/2025,15:00,16:00
2P7/Probability[1]L Savin(Constance Tipper),27/01/2025,09:00,10:00
2P5/Electrical Power[1]L Flack(Constance Tipper),27/01/2025,10:00,11:00
2CW/Lent Lab (see rota)[1]C (),27/01/2025,11:00,13:00
2P4/Thermofluid Mechanics (Heat transfer)[1]L Scott(Constance Tipper),27/01/2025,14:00,15:00
2P4/Thermofluid Mechanics (Fluids)[1]L Davies Wykes(Constance Tipper),27/01/2025,14:00,15:00
2CW/Lent Lab (see rota)[1]C (),28/01/2025,09:00,11:00
2P8C/Paper 8: The Engineer in Business (Compulsory)[1]L Coleridge/Lu/Pollitt(Constance Tipper),28/01/2025,11:00,12:00
2P2/Structures[1]L Lees(Constance Tipper),28/01/2025,12:00,13:00
2CW/Lent Lab (see rota)[1]C (),29/01/2025,09:00,11:00
2P5/Electrical Power[1]L Flack(Constance Tipper),29/01/2025,11:00,12:00
2P6/Fourier Transforms/Signal and Data[1]L Mancini(Constance Tipper),29/01/2025,14:00,15:00
2CW/Lent Lab (see rota)[2]C (),30/01/2025,09:00,11:00
2P4/Thermofluid Mechanics (Fluids)[2]L Davies Wykes(Constance Tipper),30/01/2025,11:00,12:00
2P4/Thermofluid Mechanics (Heat transfer)[2]L Scott(Constance Tipper),30/01/2025,11:00,12:00
2P1/Mechanical Engineering[2]L Hunt_HEM(Constance Tipper),30/01/2025,12:00,13:00
2P1/Mechanical Engineering[2]L Hunt_HEM(Constance Tipper),31/01/2025,09:00,10:00
2P7/Probability[2]L Savin(Constance Tipper),31/01/2025,10:00,11:00
2P6/Fourier Transforms/Signal and Data[2]L Mancini(Constance Tipper),31/01/2025,14:00,15:00
2P2/Structures[2]L Lees(Constance Tipper),31/01/2025,15:00,16:00
2P7/Probability[2]L Savin(Constance Tipper),03/02/2025,09:00,10:00
2P5/Electrical Power[2]L Flack(Constance Tipper),03/02/2025,10:00,11:00
2CW/Lent Lab (see rota)[2]C (),03/02/2025,11:00,13:00
2P4/Thermofluid Mechanics (Heat transfer)[2]L Scott(Constance Tipper),03/02/2025,14:00,15:00
2P4/Thermofluid Mechanics (Fluids)[2]L Davies Wykes(Constance Tipper),03/02/2025,14:00,15:00
2CW/Lent Lab (see rota)[2]C (),04/02/2025,09:00,11:00
2P8C/Paper 8: The Engineer in Business (Compulsory)[2]L Coleridge/Lu/Pollitt(Constance Tipper),04/02/2025,11:00,12:00
2P2/Structures[2]L Lees(Constance Tipper),04/02/2025,12:00,13:00
2CW/Lent Lab (see rota)[2]C (),05/02/2025,09:00,11:00
2P5/Electrical Power[2]L Flack(Constance Tipper),05/02/2025,11:00,12:00
2P6/Fourier Transforms/Signal and Data[2]L Mancini(Constance Tipper),05/02/2025,14:00,15:00
2CW/Lent Lab (see rota)[3]C (),06/02/2025,09:00,11:00
