course,date,start_time,end_time
4B19/Renewable Electrical Power[1]L Flack/Joyce(Lecture Room 12),10/10/2024,11:00,12:00
4C4/Design Methods (shared)[1]L Cullen/Kristensson(Lecture Room 4),10/10/2024,11:00,12:00
4F12/Computer Vision[1]L Cipolla/Johnson(Lecture Theatre 1),10/10/2024,11:00,12:00
4D16/Construction Management (shared)[1]L Sheil(Lecture Room 5),10/10/2024,11:00,12:00
4G7/Control and Computation in Living Systems[1]L OLeary(Lecture Theatre 6),10/10/2024,12:00,14:00
4A3/Turbomachinery I[1]L Miller/Taylor(Lecture Theatre 1),10/10/2024,12:00,13:00
4G7/Control and Computation in Living Systems[1]L Forni(Lecture Theatre 6),10/10/2024,12:00,13:00
4D7/Concrete and Pre-Stressed Concrete[1]L Desnerck/Orr(Lecture Room 4),10/10/2024,12:00,13:00
4C6/Advanced Linear Vibrations[1]L Butlin/Talbot(Lecture Room 5),10/10/2024,12:00,13:00
4D13/Architectural Engineering[1]L Fitzgerald/Koronaki(Lecture Room 4),10/10/2024,14:00,17:00
4M22/Climate Change Mitigation[1]L Allwood(Lecture Theatre 1),11/10/2024,09:00,10:00
4B5/Quantum and Nano-Technologies[1]L Sapienza(Lecture Room 5),11/10/2024,09:00,10:00
4D10/Structural Steelwork[1]L Becque/McRobie(Lecture Room 4),11/10/2024,10:00,11:00
4F5/Advanced Information Theory and Coding[1]L Sayir(Lecture Theatre 1),11/10/2024,10:00,11:00
4C2/Designing with Composites[1]L Markaki/Sutcliffe(Lecture Room 5),11/10/2024,10:00,11:00
4F10/Deep Learning and Structured Data[1]L Fitzgibbon/Hernandez-Lobato(Lecture Theatre 1),11/10/2024,11:00,12:00
4A4/Aircraft Stability and Control[1]L Lefas/Vera-Morales(Lecture Room 4),11/10/2024,11:00,12:00
4B11/Photonic Systems[1]L Wilkinson(Lecture Room 5),11/10/2024,12:00,13:00
4E6/Accounting and Finance[1]L Cole_O/Motoki(Lecture Theatre 1),11/10/2024,14:00,16:00
4E3/Business Innovation in a Digital Age[1]L Sayegh(Lecture Room 4),11/10/2024,14:00,16:00
4E4/Management of Technology[1]L Mortara(Lecture Theatre 6),11/10/2024,14:00,16:00
4M19/Advanced Building Physics[1]L Fitzgerald/Hunt_G(Lecture Room 4),11/10/2024,16:00,18:00
4F13/Probabilistic Machine Learning[1]L Rasmussen(Lecture Theatre 1),14/10/2024,09:00,10:00
4A2/Computational Fluid Dynamics[1]L Taylor(Lecture Theatre 6),14/10/2024,09:00,10:00
4B19/Renewable Electrical Power[1]L Flack/Joyce(Lecture Room 12),14/10/2024,11:00,12:00
4C4/Design Methods (shared)[1]L Cullen/Kristensson(Lecture Room 4),14/10/2024,11:00,12:00
4D16/Construction Management (shared)[1]L Sheil(Lecture Room 5),14/10/2024,11:00,12:00
4F12/Computer Vision[1]L Cipolla/Johnson(Lecture Theatre 1),14/10/2024,11:00,12:00
4B28/Very Large-Scale Integration (VLSI)[1]L Tang(Lecture Room 5),14/10/2024,12:00,13:00
4A12/Turbulence and Vortex Dynamics[1]L Li/Mastorakos(Lecture Room 4),14/10/2024,12:00,13:00
4G10/Brain Machine Interfaces[1]L Ahmadian/Hennequin/Malliaras(Lecture Room 3),14/10/2024,12:00,13:00
4E1/Innovation and Strategic Management of Intellectual Property[1]L Tietze(Lecture Theatre 2),14/10/2024,14:00,16:00
4A2/Computational Fluid Dynamics[1]L Taylor(Lecture Theatre 6),15/10/2024,09:00,10:00
4F13/Probabilistic Machine Learning[1]L Rasmussen(Lecture Theatre 1),15/10/2024,09:00,10:00
4D10/Structural Steelwork[1]L Becque/McRobie(Lecture Room 4),15/10/2024,10:00,11:00
4C2/Designing with Composites[1]L Markaki/Sutcliffe(Lecture Room 5),15/10/2024,10:00,11:00
4F5/Advanced Information Theory and Coding[1]L Guillen i Fabregas(Lecture Theatre 2),15/10/2024,10:00,11:00
4D5/Deep Foundations and Underground Construction[1]L Haigh/Viggiani(Lecture Room 5),15/10/2024,11:00,12:00
4M24/Computational Statistics and Machine Learning[1]L Girolami(Lecture Room 3),15/10/2024,11:00,12:00
4A7/Aircraft Aerodynamics and Design[1]L Barrett/Jarrett(Lecture Room 4),15/10/2024,11:00,12:00
4C3/Advanced Functional Materials and Devices[1]L Durrell/Hofmann(Lecture Room 11),15/10/2024,11:00,12:00
4A4/Aircraft Stability and Control[1]L Lefas/Vera-Morales(Lecture Room 4),15/10/2024,12:00,13:00
4F10/Deep Learning and Structured Data[1]L Fitzgibbon/Hernandez-Lobato(Lecture Theatre 1),15/10/2024,12:00,13:00
4I10/Nuclear Reactor Engineering[1]L Roulstone/Shwageraus(Lecture Room 11),15/10/2024,14:00,16:00
4G10/Brain Machine Interfaces[1]L Ahmadian/Hennequin/Malliaras(Lecture Room 3),16/10/2024,09:00,10:00
4B28/Very Large-Scale Integration (VLSI)[1]L Tang(Lecture Room 5),16/10/2024,09:00,10:00
4A12/Turbulence and Vortex Dynamics[1]L Li/Mastorakos(Lecture Room 4),16/10/2024,09:00,10:00
4M24/Computational Statistics and Machine Learning[1]L Girolami(Lecture Room 3),16/10/2024,10:00,11:00
4D5/Deep Foundations and Underground Construction[1]L Haigh/Viggiani(Lecture Room 5),16/10/2024,10:00,11:00
4A7/Aircraft Aerodynamics and Design[1]L Barrett/Jarrett(Lecture Room 4),16/10/2024,10:00,11:00
4C3/Advanced Functional Materials and Devices[1]L Durrell/Hofmann(Lecture Room 11),16/10/2024,10:00,11:00
4C6/Advanced Linear Vibrations[1]L Butlin/Talbot(Lecture Room 5),16/10/2024,11:00,12:00
4G7/Control and Computation in Living Systems[1]L Forni/OLeary(Lecture Theatre 6),16/10/2024,11:00,12:00
4A3/Turbomachinery I[1]L Miller/Taylor(Lecture Theatre 1),16/10/2024,11:00,12:00
4D7/Concrete and Pre-Stressed Concrete[1]L Desnerck/Orr(Lecture Room 4),16/10/2024,11:00,12:00
4B11/Photonic Systems[1]L Wilkinson(Lecture Room 5),16/10/2024,12:00,13:00
4B5/Quantum and Nano-Technologies[1]L Sapienza(Lecture Room 5),16/10/2024,14:00,15:00
4M22/Climate Change Mitigation[1]L Allwood(Lecture Theatre 1),16/10/2024,14:00,15:00
4M29/Designed to Lead[1]L Lanucha(Lecture Room 10),16/10/2024,15:00,17:00
4M3/Spanish[1]L Bianchi(Language Unit),16/10/2024,16:00,18:00
4F12/Computer Vision[2]L Cipolla/Johnson(Lecture Theatre 1),17/10/2024,11:00,12:00
4B19/Renewable Electrical Power[2]L Flack/Joyce(Lecture Room 12),17/10/2024,11:00,12:00
4D16/Construction Management (shared)[2]L Sheil(Lecture Room 5),17/10/2024,11:00,12:00
4C4/Design Methods (shared)[2]L Cullen/Kristensson(Lecture Room 4),17/10/2024,11:00,12:00
4G7/Control and Computation in Living Systems[2]L OLeary(Lecture Theatre 6),17/10/2024,12:00,14:00
4D7/Concrete and Pre-Stressed Concrete[2]L Desnerck/Orr(Lecture Room 4),17/10/2024,12:00,13:00
4G7/Control and Computation in Living Systems[2]L Forni(Lecture Theatre 6),17/10/2024,12:00,13:00
4C6/Advanced Linear Vibrations[2]L Butlin/Talbot(Lecture Room 5),17/10/2024,12:00,13:00
4A3/Turbomachinery I[2]L Miller/Taylor(Lecture Theatre 1),17/10/2024,12:00,13:00
4LR/4th year literature review[1]L Etteridge(Lecture Theatre 1),17/10/2024,13:00,14:00
4D13/Architectural Engineering[2]L Fitzgerald/Koronaki(Lecture Room 4),17/10/2024,14:00,17:00
4M22/Climate Change Mitigation[2]L Allwood(Lecture Theatre 1),18/10/2024,09:00,10:00
4B5/Quantum and Nano-Technologies[2]L Sapienza(Lecture Room 5),18/10/2024,09:00,10:00
4F5/Advanced Information Theory and Coding[2]L Sayir(Lecture Theatre 1),18/10/2024,10:00,11:00
4D10/Structural Steelwork[2]L Becque/McRobie(Lecture Room 4),18/10/2024,10:00,11:00
4C2/Designing with Composites[2]L Markaki/Sutcliffe(Lecture Room 5),18/10/2024,10:00,11:00
4F10/Deep Learning and Structured Data[2]L Fitzgibbon/Hernandez-Lobato(Lecture Theatre 1),18/10/2024,11:00,12:00
4B11/Photonic Systems[2]L Wilkinson(Lecture Room 5),18/10/2024,12:00,13:00
4E4/Management of Technology[2]L Mortara(Lecture Theatre 6),18/10/2024,14:00,16:00
4E6/Accounting and Finance[2]L Cole_O/Motoki(Lecture Theatre 1),18/10/2024,14:00,16:00
4E3/Business Innovation in a Digital Age[2]L Sayegh(Lecture Room 4),18/10/2024,14:00,16:00
4M19/Advanced Building Physics[2]L Fitzgerald/Hunt_G(Lecture Room 4),18/10/2024,16:00,18:00
